step,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,1,0.6677,0.5550,0.6914,0.5000,0.6667,0.7336
step,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,1,0.6677,0.5550,0.6914,0.5000,0.6667,0.7336
step,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,1,0.2551,0.8948,0.1956,0.9213,0.9184,0.9800
2,2,0.1908,0.9243,0.1616,0.9370,0.9370,0.9841
3,3,0.1710,0.9326,0.1580,0.9397,0.9408,0.9860
4,4,0.1562,0.9393,0.1352,0.9494,0.9487,0.9898
5,5,0.1446,0.9438,0.1560,0.9404,0.9419,0.9876
6,6,0.1379,0.9470,0.1116,0.9572,0.9575,0.9924
7,7,0.1291,0.9498,0.1198,0.9540,0.9536,0.9917
8,8,0.1213,0.9535,0.1320,0.9476,0.9491,0.9921
9,9,0.1154,0.9558,0.1147,0.9568,0.9568,0.9919
10,10,0.1104,0.9578,0.1007,0.9600,0.9596,0.9941
11,11,0.1042,0.9598,0.1076,0.9587,0.9596,0.9943
12,12,0.0990,0.9620,0.1096,0.9587,0.9594,0.9941
13,13,0.0920,0.9650,0.0889,0.9667,0.9667,0.9950
14,14,0.0886,0.9660,0.0914,0.9652,0.9648,0.9952
15,15,0.0822,0.9686,0.0913,0.9653,0.9650,0.9952
16,16,0.0788,0.9705,0.1028,0.9607,0.9607,0.9939
17,17,0.0745,0.9720,0.0998,0.9617,0.9627,0.9960
18,18,0.0684,0.9741,0.0850,0.9694,0.9691,0.9960
19,19,0.0639,0.9757,0.1030,0.9641,0.9650,0.9965
20,20,0.0600,0.9777,0.0864,0.9691,0.9687,0.9962
21,21,0.0564,0.9787,0.0788,0.9705,0.9708,0.9967
22,22,0.0503,0.9811,0.0793,0.9728,0.9728,0.9966
23,23,0.0453,0.9831,0.0813,0.9719,0.9720,0.9967
24,24,0.0418,0.9845,0.0797,0.9725,0.9725,0.9967
25,25,0.0405,0.9852,0.0810,0.9725,0.9724,0.9967
26,26,0.0368,0.9866,0.0781,0.9735,0.9735,0.9969
27,27,0.0356,0.9872,0.0783,0.9732,0.9733,0.9970
28,28,0.0330,0.9880,0.0794,0.9740,0.9740,0.9970
29,29,0.0308,0.9890,0.0810,0.9735,0.9736,0.9970
30,30,0.0306,0.9889,0.0806,0.9737,0.9737,0.9970
